,Host ID,Host Lat,Host Lng,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Venue ID,Venue Name,Venue Distance,Venue Address,Venue Lat,Venue Lng,Venue Category
37,TS0128,53.741930531143,-0.3391427393783811,HULL,HULL PRINCES QUAY,ENG,Unit G39,HU1 2PQ,1902,2962,TS0128,52c987b8498eb44b7a145b2c,JD Sports,662,"['Unit 30 St Stephens Shopping Centre', 'Hull', 'Kingston upon Hull', 'HU2 8LN', 'United Kingdom']",53.745489673326794,-0.34721195697784424,Sporting Goods Shop
38,TS0131,53.566283719249704,-0.0868701091549724,GRIMSBY,GRIMSBY,ENG,Freshney Place,DN31 1QL,153,2111,TS0131,4e36cfb11f6e9e21ad5c428a,JD Sports,57,"['28-30 Friargate Freshney Place', 'Grimsby', 'North East Lincolnshire', 'DN31 1QR', 'United Kingdom']",53.566345656329965,-0.08774042129516603,Sporting Goods Shop
39,TS0132,54.1130490272727,-3.22627259090909,BARROW,BARROW IN FURNESS,ENG,10 Portland Walk,LA14 1DB,1449,2196,"TM7617,TS0132",509ce6fce4b091ce305a85b5,JD Sports,28,"['28 Portland Walk', 'Barrow', 'Cumbria', 'LA14 1DB', 'United Kingdom']",54.11285488624088,-3.226547241210937,Sporting Goods Shop
40,TS0141,50.76901075587979,0.284634715399217,EASTBOURNE,EASTBOURNE,ENG,Unit 6,BN21 3NW,1705,4100,"TM7333,TS0141",4cb2dff5db32f04d13ffd24d,JD Sports,131,"['44-45 The Beacon', 'Eastbourne', 'East Sussex', 'BN21 3NW', 'United Kingdom']",50.769021,0.28649600000000003,Sporting Goods Shop
41,TS0147,53.027537606986,-2.1758210315777298,HANLEY,HANLEY,ENG,Unit Msu 4-5,ST1 1PS,1861,5305,"TM7497,TS0147",4c8b88822e333704c4a9cd41,JD Sports,51,"['Unit 11 Castle Walk', 'Stoke-on-Trent', 'ST5 1AN', 'United Kingdom']",53.01128392363246,-2.224821299314499,Sporting Goods Shop
42,TS0157,53.8167730176622,-3.0538118416511804,BLACKPOOL,BLACKPOOL VICTORIA ST,ENG,18/22 Victoria Street,FY1 4RW,1296,3100,"TM7252,TS0157",4c9619a458d4b60c76e63729,JD Sports,114,"['Unit N23 Houndshill (17 Victoria St)', 'Blackpool', 'FY1 4HU', 'United Kingdom']",53.81592166358654,-3.052830775463121,Sporting Goods Shop
43,TS0160,53.411248812902,-2.1598757786249,STOCKPORT,STOCKPORT,ENG,37 Mersey Way,SK1 1PW,0937 4872,3300,"TM7945,TS0160",4b7ec528f964a52010fe2fe3,JD Sports,161,"['16-18 Arndale Centre, Barbarolli Mall', 'Manchester', 'M4 3AB', 'United Kingdom']",53.36173483911322,-2.309869,Sporting Goods Shop
44,TS0163,52.2386776333333,-0.893888266666667,NORTHAMPTON,NORTHAMPTON,ENG,5 Wood Street,NN1 2ED,1335,3114,"TM7269,TS0163",4e0476faa8090c0936a0dee2,JD Sports,99,"['18 Abington Street', 'Northampton', 'Northamptonshire', 'NN1 2AJ', 'United Kingdom']",52.237893991964114,-0.8945891261100769,Sporting Goods Shop
45,TS0164,54.5256559047588,-1.55381732998363,DARLINGTON,DARLINGTON,ENG,16 Cornmill Centre,DL1 1LS,876,2500,TS0164,4e74781b1f6e072f1337d4ab,JD Sports,86,"['Unit 26 34 The Cornmill Sc', 'Darlington', 'DL1 1LS', 'United Kingdom']",54.526276,-1.553008,Sporting Goods Shop
46,TS0166,51.236625590525996,-0.576625205060411,GUILDFORD,GUILDFORD,ENG,The Friary Centre,GU1 4YL,954,10900,"TM7205,TS0166",51811256498e62ca7702a95c,JD Sports,99,"['35 North Street', 'Guildford', 'Surrey', 'GU1 4TE', 'United Kingdom']",51.2359826269961,-0.5756315588951111,Sporting Goods Shop
47,TS0168,53.7583348666667,-2.69964586666667,PRESTON,PRESTON FISHERGATE,ENG,125/127 Fishergate,PR1 2AH,2552,8800,"TM7017,TS0168",4dca97ccd22da18f4e66c55b,JD Sports,43,"['17 / 19 Fishergate', 'Preston', 'Lancashire', 'PR1 3NN', 'United Kingdom']",53.757988251094005,-2.699938416481018,Sporting Goods Shop
48,TS0169,50.80062120000001,-1.0896173999999998,PORTSMOUTH,PORTSMOUTH,ENG,152/154 Commercial Road,PO1 1EX,930,4100,TS0169,4e4cee9422717c65aca204e0,JD Sports,135,"['222-224 Commercial Road', 'Portsmouth', 'Hampshire', 'PO1 1HG', 'United Kingdom']",50.80153509681171,-1.0883398354053495,Sporting Goods Shop
49,TS0170,50.2636733661224,-5.05232573500252,TRURO,TRURO,ENG,15/16 King Street,TR1 2RQ,2179,3607,"TM7526,TS0170",5b7f1093a2c00b002c692a87,JD Sports,212,"['Unit 2, Lemon Quay', 'Truro', 'Cornwall', 'TR1 2PU', 'United Kingdom']",50.26224148683408,-5.0503528118133545,Sporting Goods Shop
50,TS0172,51.4106283,-0.3025727,KINGSTON,KINGSTON UPON THAMES,ENG,34 Clarence Street,KT1 1NR,91,5324,TS0172,4c0f573a2466a5931e797a21,JD Sports,167,"['163 High Street', 'Sutton', 'Greater London', 'SM1 1JN', 'United Kingdom']",51.33364326384707,-0.3049785,Sporting Goods Shop
51,TS0174,50.903708,-1.4038498,SOUTHAMPTON,SOUTHAMPTON ABOVE BAR,ENG,33/35 Above Bar Street,SO1 7DX,1344,5812,"TM7207,TS0174",4cfa52162d80a143cad043d8,JD Sports,121,"['70 Above Bar St', 'Southampton', 'Hampshire', 'SO14 7DS', 'United Kingdom']",50.9043065087875,-1.4098790287971497,Sporting Goods Shop
52,TS0175,54.8944689,-2.9366504,CARLISLE,CARLISLE,ENG,18/24 English Street,CA3 8HX,1355,2800,"TM7276,TS0175",4ede33a20e61d46adc771c09,JD Sports,206,"['Unit 8 The Lanes Sc (The Lanes Shopping Centre)', 'Carlisle', 'Cumbria', 'CA3 8NS', 'United Kingdom']",54.89599513317822,-2.9348301887512207,Sporting Goods Shop
53,TS0176,52.573991856879395,-0.244771143481647,PETERBOROUGH,PETERBOROUGH,ENG,21/23 Queensgate Centre,PE1 1NH,1395,3900,"TM7279,TS0176",4e662dd82271573ad931a478,JD Sports,18,"['Su76 Queensgate Shopping Centre', 'Peterborough', 'PE1 1NS', 'United Kingdom']",52.573843999999994,-0.24490599999999998,Sporting Goods Shop
54,TS0177,53.3820640363904,-1.4684651895270802,SHEFFIELD,SHEFFIELD FARGATE,ENG,33/35 Fargate,S1 2HD,1385,6971,"TM7280,TS0177",4be691eb2457a5937bf5ac15,JD Sports,648,"['42, High Street, Meadowhall Sc (Meadowhall Shopping Centre)', 'Sheffield', 'S9 1EN', 'United Kingdom']",53.344007299999994,-1.4731080830097198,Sporting Goods Shop
55,TS0178,55.9528949214286,-3.1927830785714306,EDINBURGH,EDINBURGH PRINCES ST,SCO,30 Princes Street,EH2 2BY,1370,13666,"TM7281,TS0178",4d0e1bc5eea9b60c4508623f,JD Sports,268,"['14-16 Hanover Street', 'Edinburgh', 'EH2 2EN', 'United Kingdom']",55.93360004018467,-3.363257,Sporting Goods Shop
